Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,value
0x9f5a03c668da21e6c0c9fc18d16c79fa869eab54277395a926400d1561f7efb2,0x357a150b,2022-05-18 21:29:09,0x7cc2df3956b7a4d3a434a25d37dd89aa43218f97,0xa90b435e01f825421491ba24e91f94dd2373484f,3311,0x74312363e45DCaBA76c59ec49a7Aa8A65a67EeD3,0.08
0x0e1ff1e4fe53599339e0a49affd00df894dd6258e84667a58184e72f96489b1a,0xb4e4b296,2022-05-18 21:28:38,0x6275781b3abcb2b5c9a51d5962e6561efd89a222,0xdaf380bb6d7c26e40b153f560411b533706a7727,8709,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.024
0xda1224aaef2b61108f8b454950104ab0f06fbf534f6d8b50e30e3ef65dbdb062,0x3b6d032e,2022-05-18 21:25:33,mmascara15.eth,0xe8aa03fdd98ee8bc1a44600c9eaa7db4e1d8b8d0,2943,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xbce9284d96bf2f80564660a880dd85d7015e650fdd725ae5fbc83afd42f59e46,0xb4e4b296,2022-05-18 21:22:53,0x767bc1ed35212499cd955e85ace33befd13b5c42,0x7c5bc5e4ba19aef89fcf8a83821a776e9bfff895,9989,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.020544818619273604
0x31bd928467fa9a8f2bbc2713a688a1130b2f0c37171a794c14132c54ec6ed301,0x38e29209,2022-05-18 21:19:59,0x015d6758f5c2c760d5d9fd0008c6124456555c9e,hurryupandbai.eth,7542,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x1253f71899db2ce38102c1b227d269c72c918a97c7179967822c1b4dd62cf946,0x3b6d032e,2022-05-18 21:15:47,0xdaf380bb6d7c26e40b153f560411b533706a7727,mrgee.eth,8709,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xe0cd731b3cccc7cfa60fc82c8b2f1620d4eee5949344126f724e7a90861794bf,0xb4e4b296,2022-05-18 21:06:01,caringcrypto.eth,0xe6fe14a30631b22d3f78d9ec7869eb62d6e73daa,8436,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.1
0x6a4fb41ecabdca15907e8e904f4ee1a1e9c5d0cbc04c1ca77c62186afeaa6a05,0xb4e4b296,2022-05-18 21:04:45,0xca28cdc821d8faf8c391ce7f212ad93231344b98,suddy.eth,6007,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.025
0x815161d09db9e1cedffcc233e5ac5f74edfb3376812af3e7c28f37683ff59e89,0x3b6d032e,2022-05-18 21:01:44,0x8c18576b230c5b60d12e03ef508d0173bf21f194,hurryupandbai.eth,6860,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xcbf9fefdb52fe5cfde4cbce4aaf994ce50b5dadc109bf36b09288de2ae73e90d,0x3b6d032e,2022-05-18 21:00:57,queenkayx.eth,hurryupandbai.eth,9577,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x5f3396103efa703f049f40f690d09b6c5a1da244d9797e3655485aaaa88c093f,0xb4e4b296,2022-05-18 21:00:57,0x7e5.eth,0xb0b9716f2d4c9a1c7701947ab8fe8c70d6d66d01,1124,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.025
0xd635b6755f49726e5b1e841321bacf2214a268368b4c7d1363b80e8593634211,0x3b6d032e,2022-05-18 21:00:56,queenkayx.eth,hurryupandbai.eth,8829,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xe42be74b6586178fccf401068a97bbf57890548fd63550b436656f07a5b35efa,0x3b6d032e,2022-05-18 20:59:52,queenkayx.eth,hurryupandbai.eth,6850,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xbfe363f08c4967f4e535b90aecea5062e1d1a8c0a491bd02061bea8273a62418,0x3b6d032e,2022-05-18 20:59:04,queenkayx.eth,hurryupandbai.eth,6581,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xd5ccc3bdd473660f6eb23164797e35d6d98d1b12cae63fc2d91f4d34a68de98d,0x3b6d032e,2022-05-18 20:58:38,reubs.eth,hurryupandbai.eth,6477,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x0d994d69842119d87c682f9066779e77f81866fff71ac04a411d52c34409e2cd,0x3b6d032e,2022-05-18 20:57:57,0xbfedea0b7d202c7afbe3f137aa271d589763e595,hurryupandbai.eth,6260,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
