Txn Hash,Method,TimeStamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1813,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1812,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1811,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1810,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1809,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1808,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1807,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1806,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1805,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1804,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1803,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1802,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
0x4281d29d10589e19c1b38fcbce972c61d72c2b4975a2615d974bfcf87d8990e8,Mint,2021-07-25 16:22:00,Black Hole: 0x000…000,0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,1801,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,1.4,Minting,None
