Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0xe1bfe67bc2227d86ed4f15c779e7b890dde47706eda2345e655cb4295c17d43b,Atomic Match_,2022-05-19 2:07,0xbabaf8ed1868ac06b5858e1987169b1352fc28b7,0xc4b9f086c6cf5deddb8e2705de1cade6e765c233,15903,0x7f268357A8c2552623316e2562D90e642bB538E5,0.025,Transfer,None
0x5e6e3ea1dd9f8ef52e6469b2838dc26e0d567b03c3a82a84ead2e2d90ee218a1,Atomic Match_,2022-05-19 1:53,0x04cf47c3e238bf4d5cb8d618abf536347ea8a599,0x0c747a85ec7efbeaf43711552c3b78a04f0f92b0,4760,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0xf150b1aabc397d8e855cf5e46a4de2fe4cbadfc3e06ad4044022a35c07bca512,Atomic Match_,2022-05-19 1:51,0xbc65c09a285c6d32ab9ded1b0d7b935e26835d65,0xcf6c4afba653249d015a603c69a1bd03cd9dec3a,11898,0x7f268357A8c2552623316e2562D90e642bB538E5,0.04,Transfer,None
0xdd982ddf6f9ca14cd298c013d2cd6eccb95d830d9fe472632802be13a3b3cab0,Atomic Match_,2022-05-19 1:50,0xdf985f27189cfc9e5c33b6b8ebb1179e1d983d7f,0xf144c56b0fdc70cdb48a4d4bbb12547496b4ec01,21727,0x7f268357A8c2552623316e2562D90e642bB538E5,0.024,Transfer,None
0xf842cdf6bd08a54b90bd2fdc39a85e4a71cda7e9a8099c6cab0927081f8be8de,Transfer From,2022-05-19 1:46,akaoni.eth,osushisan.eth,1343,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0,Transfer,None
0x41d983e72433c67cbb50379ab45785b8eac57a3680481fefac1b6f5d1fa492cc,Atomic Match_,2022-05-19 1:46,0x4687c5d6262977413bd96e8a5d96886871506bc8,0x66aa50d9b057d7946c8a4fa6986598534f3806c8,4071,0x7f268357A8c2552623316e2562D90e642bB538E5,0.05,Transfer,None
0x82f3e2a9f1d018e126667f3ff3a1eace89fb0aad2b72c5d16d8aef65ac3269d0,Atomic Match_,2022-05-19 1:32,0x4687c5d6262977413bd96e8a5d96886871506bc8,0x8696a6844e8a091d99be417e3d995256bd7e575c,18978,0x7f268357A8c2552623316e2562D90e642bB538E5,0.025,Transfer,None
0xb6ac547a28c0153e234ba46b7520cea63951329847240f757dff14ef6549cfa1,Atomic Match_,2022-05-19 1:29,0x1309d8cac304201de59a11d36c310e5a7604ed19,0x2b83ae5c340a9887fd5b1bc896cb553878025b77,10850,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03888,Transfer,None
0xd7efebb39114ede4ae07688fb88ab58625c05bc269cae4089e21ecc303af95cc,Atomic Match_,2022-05-19 1:29,0xc84a3c32993608a85dca24cb4a54e3ea298303a8,0x8696a6844e8a091d99be417e3d995256bd7e575c,18863,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0x6b7188806386080712cea9d8acb018e531a097894a4203a1fff7ede2c54aaf2c,Atomic Match_,2022-05-19 1:16,0xc7733561a23bdbf72b07f6b6a490c4498e743da6,*frogking🐸.eth,21671,0x7f268357A8c2552623316e2562D90e642bB538E5,0.027,Transfer,None
